main | t (second),main | E1 (J_per_m2),main | g (m_per_s2),main | M1 (Js2_per_m2),main | omega (radian_per_s),main | q1 (metre),main | q1' (metre/second),main | r0 (metre),main | R1 (Js_per_m2),main | theta (radian),main | theta' (radian/second),main | v1 (m_per_s),main | v1' (m_per_s/second),main | v2 (m_per_s),main | v2' (m_per_s/second)
0,200,9.81,100,-0.139506,5.34975,5.38972,1,0.1,0.275502,-0.139506,5.38972,-1.14125,-0.885826,-1.91672
0.01,200,9.81,100,-0.141309,5.40359,5.37781,1,0.1,0.274098,-0.141309,5.37781,-1.24089,-0.904886,-1.89542
0.02,200,9.81,100,-0.143053,5.4573,5.3649,1,0.1,0.272676,-0.143053,5.3649,-1.34026,-0.923736,-1.87446
0.03,200,9.81,100,-0.144739,5.51088,5.35101,1,0.1,0.271237,-0.144739,5.35101,-1.43936,-0.942377,-1.85383
0.04,200,9.81,100,-0.146369,5.56432,5.33612,1,0.1,0.269781,-0.146369,5.33612,-1.53817,-0.960814,-1.83353
0.05,200,9.81,100,-0.147946,5.6176,5.32024,1,0.1,0.26831,-0.147946,5.32024,-1.63667,-0.979049,-1.81354
0.06,200,9.81,100,-0.149472,5.67072,5.30339,1,0.1,0.266823,-0.149472,5.30339,-1.73484,-0.997086,-1.79387
0.07,200,9.81,100,-0.150949,5.72366,5.28555,1,0.1,0.265321,-0.150949,5.28555,-1.83267,-1.01493,-1.77452
0.08,200,9.81,100,-0.152378,5.77642,5.26673,1,0.1,0.263804,-0.152378,5.26673,-1.93015,-1.03258,-1.75547
0.09,200,9.81,100,-0.153762,5.82899,5.24695,1,0.1,0.262273,-0.153762,5.24695,-2.02725,-1.05004,-1.73672
0.1,200,9.81,100,-0.155102,5.88136,5.22619,1,0.1,0.260729,-0.155102,5.22619,-2.12396,-1.06731,-1.71828
0.11,200,9.81,100,-0.1564,5.93351,5.20447,1,0.1,0.259171,-0.1564,5.20447,-2.22026,-1.0844,-1.70012
0.12,200,9.81,100,-0.157659,5.98545,5.18179,1,0.1,0.257601,-0.157659,5.18179,-2.31613,-1.10132,-1.68225
0.13,200,9.81,100,-0.158878,6.03715,5.15815,1,0.1,0.256018,-0.158878,5.15815,-2.41157,-1.11805,-1.66467
0.14,200,9.81,100,-0.160061,6.08861,5.13356,1,0.1,0.254423,-0.160061,5.13356,-2.50654,-1.13461,-1.64737
0.15,200,9.81,100,-0.161208,6.13982,5.10802,1,0.1,0.252817,-0.161208,5.10802,-2.60103,-1.151,-1.63034
0.16,200,9.81,100,-0.162322,6.19076,5.08154,1,0.1,0.251199,-0.162322,5.08154,-2.69503,-1.16722,-1.61359
0.17,200,9.81,100,-0.163403,6.24144,5.05412,1,0.1,0.249571,-0.163403,5.05412,-2.78852,-1.18327,-1.5971
0.18,200,9.81,100,-0.164452,6.29184,5.02577,1,0.1,0.247931,-0.164452,5.02577,-2.88148,-1.19916,-1.58087
0.19,200,9.81,100,-0.165472,6.34196,4.99649,1,0.1,0.246282,-0.165472,4.99649,-2.97389,-1.21489,-1.56489
0.2,200,9.81,100,-0.166463,6.39177,4.96629,1,0.1,0.244622,-0.166463,4.96629,-3.06573,-1.23046,-1.54917
0.21,200,9.81,100,-0.167427,6.44128,4.93518,1,0.1,0.242953,-0.167427,4.93518,-3.157,-1.24587,-1.5337
0.22,200,9.81,100,-0.168365,6.49047,4.90316,1,0.1,0.241274,-0.168365,4.90316,-3.24767,-1.26113,-1.51848
0.23,200,9.81,100,-0.169278,6.53934,4.87023,1,0.1,0.239585,-0.169278,4.87023,-3.33772,-1.27624,-1.50349
0.24,200,9.81,100,-0.170167,6.58787,4.8364,1,0.1,0.237888,-0.170167,4.8364,-3.42713,-1.2912,-1.48874
0.25,200,9.81,100,-0.171033,6.63606,4.80169,1,0.1,0.236182,-0.171033,4.80169,-3.5159,-1.30602,-1.47422
0.26,200,9.81,100,-0.171877,6.6839,4.76609,1,0.1,0.234468,-0.171877,4.76609,-3.60399,-1.32069,-1.45993
0.27,200,9.81,100,-0.172701,6.73138,4.72961,1,0.1,0.232745,-0.172701,4.72961,-3.69141,-1.33522,-1.44586
0.28,200,9.81,100,-0.173505,6.77849,4.69226,1,0.1,0.231014,-0.173505,4.69226,-3.77812,-1.34961,-1.43201
0.29,200,9.81,100,-0.17429,6.82522,4.65405,1,0.1,0.229275,-0.17429,4.65405,-3.86411,-1.36386,-1.41838
0.3,200,9.81,100,-0.175057,6.87157,4.61498,1,0.1,0.227528,-0.175057,4.61498,-3.94936,-1.37798,-1.40495
0.31,200,9.81,100,-0.175807,6.91752,4.57507,1,0.1,0.225774,-0.175807,4.57507,-4.03387,-1.39196,-1.39174
0.32,200,9.81,100,-0.176541,6.96307,4.53431,1,0.1,0.224012,-0.176541,4.53431,-4.1176,-1.40581,-1.37873
0.33,200,9.81,100,-0.17726,7.00821,4.49272,1,0.1,0.222243,-0.17726,4.49272,-4.20055,-1.41953,-1.36592
0.34,200,9.81,100,-0.177964,7.05292,4.4503,1,0.1,0.220467,-0.177964,4.4503,-4.28269,-1.43313,-1.35331
0.35,200,9.81,100,-0.178654,7.09721,4.40707,1,0.1,0.218684,-0.178654,4.40707,-4.36402,-1.4466,-1.34089
0.36,200,9.81,100,-0.179332,7.14106,4.36302,1,0.1,0.216894,-0.179332,4.36302,-4.44451,-1.45995,-1.32866
0.37,200,9.81,100,-0.179996,7.18447,4.31818,1,0.1,0.215097,-0.179996,4.31818,-4.52415,-1.47318,-1.31661
0.38,200,9.81,100,-0.18065,7.22742,4.27254,1,0.1,0.213294,-0.18065,4.27254,-4.60292,-1.48628,-1.30475
0.39,200,9.81,100,-0.181292,7.26991,4.22612,1,0.1,0.211484,-0.181292,4.22612,-4.68081,-1.49927,-1.29307
0.4,200,9.81,100,-0.181924,7.31194,4.17893,1,0.1,0.209668,-0.181924,4.17893,-4.7578,-1.51214,-1.28156
0.41,200,9.81,100,-0.182547,7.35349,4.13097,1,0.1,0.207846,-0.182547,4.13097,-4.83388,-1.5249,-1.27022
0.42,200,9.81,100,-0.18316,7.39456,4.08225,1,0.1,0.206017,-0.18316,4.08225,-4.90903,-1.53755,-1.25906
0.43,200,9.81,100,-0.183765,7.43513,4.03279,1,0.1,0.204182,-0.183765,4.03279,-4.98323,-1.55008,-1.24805
0.44,200,9.81,100,-0.184362,7.47521,3.98259,1,0.1,0.202342,-0.184362,3.98259,-5.05647,-1.56251,-1.23722
0.45,200,9.81,100,-0.184952,7.51478,3.93167,1,0.1,0.200495,-0.184952,3.93167,-5.12874,-1.57483,-1.22654
0.46,200,9.81,100,-0.185536,7.55384,3.88002,1,0.1,0.198643,-0.185536,3.88002,-5.20002,-1.58704,-1.21601
0.47,200,9.81,100,-0.186113,7.59238,3.82767,1,0.1,0.196785,-0.186113,3.82767,-5.2703,-1.59915,-1.20564
0.48,200,9.81,100,-0.186684,7.63039,3.77462,1,0.1,0.194921,-0.186684,3.77462,-5.33956,-1.61116,-1.19543
0.49,200,9.81,100,-0.18725,7.66787,3.72088,1,0.1,0.193051,-0.18725,3.72088,-5.40778,-1.62306,-1.18535
0.5,200,9.81,100,-0.187811,7.70481,3.66647,1,0.1,0.191176,-0.187811,3.66647,-5.47496,-1.63486,-1.17543
0.51,200,9.81,100,-0.188369,7.7412,3.61138,1,0.1,0.189295,-0.188369,3.61138,-5.54108,-1.64657,-1.16564
0.52,200,9.81,100,-0.188922,7.77703,3.55565,1,0.1,0.187408,-0.188922,3.55565,-5.60613,-1.65818,-1.15599
0.53,200,9.81,100,-0.189472,7.81231,3.49927,1,0.1,0.185516,-0.189472,3.49927,-5.67009,-1.66969,-1.14648
0.54,200,9.81,100,-0.19002,7.84702,3.44225,1,0.1,0.183619,-0.19002,3.44225,-5.73295,-1.68111,-1.1371
0.55,200,9.81,100,-0.190564,7.88115,3.38461,1,0.1,0.181716,-0.190564,3.38461,-5.79469,-1.69243,-1.12785
0.56,200,9.81,100,-0.191107,7.91471,3.32636,1,0.1,0.179808,-0.191107,3.32636,-5.85532,-1.70366,-1.11873
0.57,200,9.81,100,-0.191648,7.94768,3.26751,1,0.1,0.177894,-0.191648,3.26751,-5.9148,-1.71481,-1.10974
0.58,200,9.81,100,-0.192188,7.98006,3.20807,1,0.1,0.175975,-0.192188,3.20807,-5.97313,-1.72586,-1.10086
0.59,200,9.81,100,-0.192727,8.01184,3.14805,1,0.1,0.17405,-0.192727,3.14805,-6.0303,-1.73682,-1.09211
0.6,200,9.81,100,-0.193265,8.04301,3.08746,1,0.1,0.17212,-0.193265,3.08746,-6.0863,-1.7477,-1.08347
0.61,200,9.81,100,-0.193804,8.07358,3.02633,1,0.1,0.170185,-0.193804,3.02633,-6.14111,-1.75849,-1.07495
0.62,200,9.81,100,-0.194342,8.10354,2.96465,1,0.1,0.168244,-0.194342,2.96465,-6.19473,-1.7692,-1.06654
0.63,200,9.81,100,-0.194881,8.13288,2.90244,1,0.1,0.166298,-0.194881,2.90244,-6.24713,-1.77982,-1.05824
0.64,200,9.81,100,-0.195421,8.16159,2.83971,1,0.1,0.164346,-0.195421,2.83971,-6.29832,-1.79037,-1.05005
0.65,200,9.81,100,-0.195962,8.18967,2.77647,1,0.1,0.162389,-0.195962,2.77647,-6.34828,-1.80083,-1.04196
0.66,200,9.81,100,-0.196505,8.21711,2.71275,1,0.1,0.160427,-0.196505,2.71275,-6.397,-1.81121,-1.03398
0.67,200,9.81,100,-0.197049,8.24392,2.64854,1,0.1,0.158459,-0.197049,2.64854,-6.44447,-1.82151,-1.0261
0.68,200,9.81,100,-0.197596,8.27008,2.58386,1,0.1,0.156486,-0.197596,2.58386,-6.49068,-1.83173,-1.01831
0.69,200,9.81,100,-0.198145,8.2956,2.51873,1,0.1,0.154507,-0.198145,2.51873,-6.53562,-1.84187,-1.01062
0.7,200,9.81,100,-0.198696,8.32046,2.45315,1,0.1,0.152523,-0.198696,2.45315,-6.57928,-1.85194,-1.00303
0.71,200,9.81,100,-0.199251,8.34466,2.38715,1,0.1,0.150533,-0.199251,2.38715,-6.62165,-1.86193,-0.995521
0.72,200,9.81,100,-0.199809,8.3682,2.32072,1,0.1,0.148538,-0.199809,2.32072,-6.66273,-1.87185,-0.988105
0.73,200,9.81,100,-0.200371,8.39107,2.2539,1,0.1,0.146537,-0.200371,2.2539,-6.7025,-1.8817,-0.980777
0.74,200,9.81,100,-0.200936,8.41327,2.18668,1,0.1,0.144531,-0.200936,2.18668,-6.74096,-1.89147,-0.973533
0.75,200,9.81,100,-0.201506,8.4348,2.11908,1,0.1,0.142519,-0.201506,2.11908,-6.77809,-1.90117,-0.966372
0.76,200,9.81,100,-0.20208,8.45566,2.05112,1,0.1,0.140501,-0.20208,2.05112,-6.8139,-1.91079,-0.959291
0.77,200,9.81,100,-0.202658,8.47583,1.98281,1,0.1,0.138477,-0.202658,1.98281,-6.84837,-1.92035,-0.952289
0.78,200,9.81,100,-0.203241,8.49531,1.91416,1,0.1,0.136447,-0.203241,1.91416,-6.88149,-1.92984,-0.945364
0.79,200,9.81,100,-0.20383,8.51411,1.84518,1,0.1,0.134412,-0.20383,1.84518,-6.91326,-1.93926,-0.938512
0.8,200,9.81,100,-0.204424,8.53221,1.7759,1,0.1,0.132371,-0.204424,1.7759,-6.94368,-1.94861,-0.931733
0.81,200,9.81,100,-0.205023,8.54962,1.70631,1,0.1,0.130324,-0.205023,1.70631,-6.97273,-1.95789,-0.925024
0.82,200,9.81,100,-0.205629,8.56634,1.63645,1,0.1,0.12827,-0.205629,1.63645,-7.00041,-1.96711,-0.918384
0.83,200,9.81,100,-0.20624,8.58235,1.56631,1,0.1,0.126211,-0.20624,1.56631,-7.02672,-1.97626,-0.91181
0.84,200,9.81,100,-0.206857,8.59766,1.49592,1,0.1,0.124146,-0.206857,1.49592,-7.05164,-1.98535,-0.9053
0.85,200,9.81,100,-0.207482,8.61227,1.42528,1,0.1,0.122074,-0.207482,1.42528,-7.07517,-1.99437,-0.898852
0.86,200,9.81,100,-0.208112,8.62617,1.35442,1,0.1,0.119996,-0.208112,1.35442,-7.09732,-2.00333,-0.892465
0.87,200,9.81,100,-0.20875,8.63936,1.28334,1,0.1,0.117912,-0.20875,1.28334,-7.11806,-2.01222,-0.886136
0.88,200,9.81,100,-0.209395,8.65183,1.21206,1,0.1,0.115821,-0.209395,1.21206,-7.13741,-2.02105,-0.879864
0.89,200,9.81,100,-0.210048,8.6636,1.1406,1,0.1,0.113724,-0.210048,1.1406,-7.15535,-2.02982,-0.873646
0.9,200,9.81,100,-0.210708,8.67465,1.06896,1,0.1,0.11162,-0.210708,1.06896,-7.17188,-2.03852,-0.86748
0.91,200,9.81,100,-0.211375,8.68498,0.997164,1,0.1,0.109509,-0.211375,0.997164,-7.18699,-2.04717,-0.861366
0.92,200,9.81,100,-0.212051,8.69459,0.925225,1,0.1,0.107392,-0.212051,0.925225,-7.20069,-2.05575,-0.8553
0.93,200,9.81,100,-0.212735,8.70348,0.853155,1,0.1,0.105268,-0.212735,0.853155,-7.21298,-2.06427,-0.849281
0.94,200,9.81,100,-0.213428,8.71165,0.78097,1,0.1,0.103138,-0.213428,0.78097,-7.22383,-2.07273,-0.843306
0.95,200,9.81,100,-0.214129,8.7191,0.708683,1,0.1,0.101,-0.214129,0.708683,-7.23327,-2.08114,-0.837375
0.96,200,9.81,100,-0.214839,8.72582,0.636309,1,0.1,0.098855,-0.214839,0.636309,-7.24128,-2.08948,-0.831485
0.97,200,9.81,100,-0.215557,8.73183,0.563862,1,0.1,0.096703,-0.215557,0.563862,-7.24786,-2.09777,-0.825634
0.98,200,9.81,100,-0.216286,8.7371,0.491357,1,0.1,0.0945438,-0.216286,0.491357,-7.25301,-2.106,-0.81982
0.99,200,9.81,100,-0.217023,8.74165,0.418807,1,0.1,0.0923773,-0.217023,0.418807,-7.25673,-2.11416,-0.814042
1,200,9.81,100,-0.21777,8.74548,0.346227,1,0.1,0.0902033,-0.21777,0.346227,-7.25902,-2.12228,-0.808297
1.01,200,9.81,100,-0.218527,8.74858,0.273631,1,0.1,0.0880218,-0.218527,0.273631,-7.25987,-2.13033,-0.802584
1.02,200,9.81,100,-0.219294,8.75095,0.201034,1,0.1,0.0858327,-0.219294,0.201034,-7.25929,-2.13833,-0.7969
1.03,200,9.81,100,-0.220071,8.7526,0.12845,1,0.1,0.0836359,-0.220071,0.12845,-7.25728,-2.14627,-0.791244
1.04,200,9.81,100,-0.220859,8.75352,0.0558936,1,0.1,0.0814313,-0.220859,0.0558936,-7.25384,-2.15415,-0.785613
1.05,200,9.81,100,-0.221657,8.75372,-0.0166216,1,0.1,0.0792187,-0.221657,-0.0166216,-7.24896,-2.16198,-0.780007
1.06,200,9.81,100,-0.222466,8.75319,-0.0890809,1,0.1,0.0769981,-0.222466,-0.0890809,-7.24265,-2.16975,-0.774422
1.07,200,9.81,100,-0.223286,8.75193,-0.16147,1,0.1,0.0747693,-0.223286,-0.16147,-7.23492,-2.17747,-0.768858
1.08,200,9.81,100,-0.224117,8.74996,-0.233774,1,0.1,0.0725323,-0.224117,-0.233774,-7.22575,-2.18513,-0.763311
1.09,200,9.81,100,-0.224959,8.74726,-0.30598,1,0.1,0.0702869,-0.224959,-0.30598,-7.21516,-2.19274,-0.75778
1.1,200,9.81,100,-0.225813,8.74384,-0.378073,1,0.1,0.0680331,-0.225813,-0.378073,-7.20314,-2.20029,-0.752264
1.11,200,9.81,100,-0.226679,8.7397,-0.450038,1,0.1,0.0657706,-0.226679,-0.450038,-7.1897,-2.20778,-0.746759
1.12,200,9.81,100,-0.227556,8.73484,-0.521862,1,0.1,0.0634995,-0.227556,-0.521862,-7.17484,-2.21522,-0.741264
1.13,200,9.81,100,-0.228446,8.72926,-0.59353,1,0.1,0.0612195,-0.228446,-0.59353,-7.15856,-2.22261,-0.735777
1.14,200,9.81,100,-0.229347,8.72297,-0.665029,1,0.1,0.0589305,-0.229347,-0.665029,-7.14087,-2.22994,-0.730297
1.15,200,9.81,100,-0.230262,8.71596,-0.736343,1,0.1,0.0566325,-0.230262,-0.736343,-7.12177,-2.23721,-0.724819
1.16,200,9.81,100,-0.231188,8.70824,-0.807459,1,0.1,0.0543253,-0.231188,-0.807459,-7.10126,-2.24443,-0.719344
1.17,200,9.81,100,-0.232128,8.69981,-0.878364,1,0.1,0.0520087,-0.232128,-0.878364,-7.07935,-2.2516,-0.713868
1.18,200,9.81,100,-0.233081,8.69068,-0.949042,1,0.1,0.0496827,-0.233081,-0.949042,-7.05605,-2.25871,-0.70839
1.19,200,9.81,100,-0.234047,8.68083,-1.01948,1,0.1,0.047347,-0.234047,-1.01948,-7.03134,-2.26577,-0.702907
1.2,200,9.81,100,-0.235026,8.67029,-1.08966,1,0.1,0.0450017,-0.235026,-1.08966,-7.00526,-2.27277,-0.697417
1.21,200,9.81,100,-0.236019,8.65904,-1.15958,1,0.1,0.0426465,-0.236019,-1.15958,-6.97779,-2.27972,-0.691918
1.22,200,9.81,100,-0.237025,8.6471,-1.22922,1,0.1,0.0402813,-0.237025,-1.22922,-6.94894,-2.28661,-0.686407
1.23,200,9.81,100,-0.238046,8.63446,-1.29855,1,0.1,0.0379059,-0.238046,-1.29855,-6.91872,-2.29344,-0.680884
1.24,200,9.81,100,-0.239081,8.62113,-1.36758,1,0.1,0.0355203,-0.239081,-1.36758,-6.88713,-2.30022,-0.675344
1.25,200,9.81,100,-0.24013,8.60711,-1.43629,1,0.1,0.0331242,-0.24013,-1.43629,-6.85419,-2.30695,-0.669786
1.26,200,9.81,100,-0.241193,8.5924,-1.50466,1,0.1,0.0307176,-0.241193,-1.50466,-6.8199,-2.31362,-0.664207
1.27,200,9.81,100,-0.242271,8.57701,-1.57269,1,0.1,0.0283003,-0.242271,-1.57269,-6.78426,-2.32023,-0.658606
1.28,200,9.81,100,-0.243364,8.56095,-1.64034,1,0.1,0.0258722,-0.243364,-1.64034,-6.74728,-2.32679,-0.652979
1.29,200,9.81,100,-0.244472,8.54421,-1.70763,1,0.1,0.023433,-0.244472,-1.70763,-6.70898,-2.33329,-0.647324
1.3,200,9.81,100,-0.245595,8.5268,-1.77452,1,0.1,0.0209827,-0.245595,-1.77452,-6.66935,-2.33974,-0.641639
1.31,200,9.81,100,-0.246734,8.50872,-1.84101,1,0.1,0.018521,-0.246734,-1.84101,-6.62841,-2.34613,-0.635921
1.32,200,9.81,100,-0.247889,8.48998,-1.90708,1,0.1,0.0160479,-0.247889,-1.90708,-6.58617,-2.35246,-0.630168
1.33,200,9.81,100,-0.249059,8.47058,-1.97273,1,0.1,0.0135632,-0.249059,-1.97273,-6.54263,-2.35873,-0.624376
1.34,200,9.81,100,-0.250245,8.45053,-2.03793,1,0.1,0.0110667,-0.250245,-2.03793,-6.4978,-2.36494,-0.618544
1.35,200,9.81,100,-0.251447,8.42982,-2.10268,1,0.1,0.00855828,-0.251447,-2.10268,-6.45169,-2.3711,-0.612668
1.36,200,9.81,100,-0.252666,8.40847,-2.16696,1,0.1,0.00603773,-0.252666,-2.16696,-6.40432,-2.3772,-0.606746
1.37,200,9.81,100,-0.253901,8.38648,-2.23076,1,0.1,0.00350491,-0.253901,-2.23076,-6.35569,-2.38323,-0.600775
1.38,200,9.81,100,-0.255153,8.36386,-2.29407,1,0.1,0.000959658,-0.255153,-2.29407,-6.30582,-2.38921,-0.594752
1.39,200,9.81,100,-0.256421,8.3406,-2.35688,1,0.1,-0.0015982,-0.256421,-2.35688,-6.2547,-2.39513,-0.588675
1.4,200,9.81,100,-0.257707,8.31672,-2.41916,1,0.1,-0.00416882,-0.257707,-2.41916,-6.20236,-2.40099,-0.582539
1.41,200,9.81,100,-0.25901,8.29222,-2.48092,1,0.1,-0.0067524,-0.25901,-2.48092,-6.14881,-2.40678,-0.576343
1.42,200,9.81,100,-0.260331,8.26711,-2.54213,1,0.1,-0.00934909,-0.260331,-2.54213,-6.09405,-2.41251,-0.570082
1.43,200,9.81,100,-0.261669,8.24138,-2.6028,1,0.1,-0.0119591,-0.261669,-2.6028,-6.0381,-2.41818,-0.563755
1.44,200,9.81,100,-0.263025,8.21505,-2.66289,1,0.1,-0.0145825,-0.263025,-2.66289,-5.98097,-2.42379,-0.557357
1.45,200,9.81,100,-0.264399,8.18813,-2.72241,1,0.1,-0.0172196,-0.264399,-2.72241,-5.92267,-2.42933,-0.550886
1.46,200,9.81,100,-0.265791,8.16061,-2.78134,1,0.1,-0.0198706,-0.265791,-2.78134,-5.86322,-2.4348,-0.544338
1.47,200,9.81,100,-0.267201,8.1325,-2.83967,1,0.1,-0.0225355,-0.267201,-2.83967,-5.80263,-2.44022,-0.537709
1.48,200,9.81,100,-0.26863,8.10382,-2.89739,1,0.1,-0.0252146,-0.26863,-2.89739,-5.7409,-2.44556,-0.530997
1.49,200,9.81,100,-0.270078,8.07456,-2.95449,1,0.1,-0.0279082,-0.270078,-2.95449,-5.67806,-2.45083,-0.524197
1.5,200,9.81,100,-0.271544,8.04473,-3.01095,1,0.1,-0.0306163,-0.271544,-3.01095,-5.61412,-2.45604,-0.517306
1.51,200,9.81,100,-0.27303,8.01434,-3.06676,1,0.1,-0.0333391,-0.27303,-3.06676,-5.54909,-2.46118,-0.510321
1.52,200,9.81,100,-0.274534,7.98339,-3.12193,1,0.1,-0.0360769,-0.274534,-3.12193,-5.48298,-2.46625,-0.503237
1.53,200,9.81,100,-0.276058,7.9519,-3.17642,1,0.1,-0.0388299,-0.276058,-3.17642,-5.41582,-2.47125,-0.496051
1.54,200,9.81,100,-0.277602,7.91987,-3.23024,1,0.1,-0.0415981,-0.277602,-3.23024,-5.34761,-2.47617,-0.488759
1.55,200,9.81,100,-0.279165,7.8873,-3.28337,1,0.1,-0.0443819,-0.279165,-3.28337,-5.27836,-2.48102,-0.481357
1.56,200,9.81,100,-0.280748,7.8542,-3.3358,1,0.1,-0.0471815,-0.280748,-3.3358,-5.20811,-2.4858,-0.47384
1.57,200,9.81,100,-0.28235,7.82059,-3.38753,1,0.1,-0.049997,-0.28235,-3.38753,-5.13685,-2.4905,-0.466204
1.58,200,9.81,100,-0.283973,7.78646,-3.43854,1,0.1,-0.0528286,-0.283973,-3.43854,-5.06461,-2.49512,-0.458446
1.59,200,9.81,100,-0.285617,7.75182,-3.48882,1,0.1,-0.0556765,-0.285617,-3.48882,-4.9914,-2.49966,-0.45056
1.6,200,9.81,100,-0.28728,7.71668,-3.53836,1,0.1,-0.058541,-0.28728,-3.53836,-4.91724,-2.50413,-0.442542
1.61,200,9.81,100,-0.288964,7.68105,-3.58716,1,0.1,-0.0614222,-0.288964,-3.58716,-4.84215,-2.50852,-0.434388
1.62,200,9.81,100,-0.290669,7.64494,-3.6352,1,0.1,-0.0643203,-0.290669,-3.6352,-4.76613,-2.51282,-0.426093
1.63,200,9.81,100,-0.292395,7.60835,-3.68248,1,0.1,-0.0672356,-0.292395,-3.68248,-4.68922,-2.51704,-0.417653
1.64,200,9.81,100,-0.294141,7.57129,-3.72898,1,0.1,-0.0701683,-0.294141,-3.72898,-4.61142,-2.52117,-0.409061
1.65,200,9.81,100,-0.295909,7.53377,-3.7747,1,0.1,-0.0731185,-0.295909,-3.7747,-4.53275,-2.52522,-0.400314
1.66,200,9.81,100,-0.297697,7.4958,-3.81963,1,0.1,-0.0760865,-0.297697,-3.81963,-4.45324,-2.52918,-0.391405
1.67,200,9.81,100,-0.299507,7.45738,-3.86377,1,0.1,-0.0790725,-0.299507,-3.86377,-4.37289,-2.53304,-0.382331
1.68,200,9.81,100,-0.301338,7.41853,-3.90709,1,0.1,-0.0820767,-0.301338,-3.90709,-4.29174,-2.53682,-0.373085
1.69,200,9.81,100,-0.30319,7.37925,-3.9496,1,0.1,-0.0850993,-0.30319,-3.9496,-4.20979,-2.54051,-0.363662
1.7,200,9.81,100,-0.305064,7.33954,-3.99128,1,0.1,-0.0881406,-0.305064,-3.99128,-4.12706,-2.54409,-0.354057
1.71,200,9.81,100,-0.306959,7.29942,-4.03214,1,0.1,-0.0912007,-0.306959,-4.03214,-4.04358,-2.54759,-0.344263
1.72,200,9.81,100,-0.308876,7.2589,-4.07215,1,0.1,-0.0942799,-0.308876,-4.07215,-3.95936,-2.55098,-0.334276
1.73,200,9.81,100,-0.310815,7.21798,-4.11132,1,0.1,-0.0973783,-0.310815,-4.11132,-3.87442,-2.55427,-0.324088
1.74,200,9.81,100,-0.312775,7.17668,-4.14964,1,0.1,-0.100496,-0.312775,-4.14964,-3.78879,-2.55746,-0.313694
1.75,200,9.81,100,-0.314757,7.13499,-4.1871,1,0.1,-0.103634,-0.314757,-4.1871,-3.70248,-2.56054,-0.303087
1.76,200,9.81,100,-0.31676,7.09294,-4.22369,1,0.1,-0.106791,-0.31676,-4.22369,-3.61552,-2.56352,-0.292262
1.77,200,9.81,100,-0.318785,7.05052,-4.2594,1,0.1,-0.109969,-0.318785,-4.2594,-3.52791,-2.56639,-0.281211
1.78,200,9.81,100,-0.320832,7.00775,-4.29424,1,0.1,-0.113167,-0.320832,-4.29424,-3.4397,-2.56914,-0.269929
1.79,200,9.81,100,-0.322901,6.96464,-4.3282,1,0.1,-0.116386,-0.322901,-4.3282,-3.35089,-2.57179,-0.258407
1.8,200,9.81,100,-0.32499,6.92119,-4.36126,1,0.1,-0.119625,-0.32499,-4.36126,-3.2615,-2.57431,-0.24664
1.81,200,9.81,100,-0.327102,6.87742,-4.39342,1,0.1,-0.122886,-0.327102,-4.39342,-3.17157,-2.57672,-0.23462
1.82,200,9.81,100,-0.329235,6.83333,-4.42469,1,0.1,-0.126167,-0.329235,-4.42469,-3.08111,-2.579,-0.22234
1.83,200,9.81,100,-0.331389,6.78893,-4.45504,1,0.1,-0.12947,-0.331389,-4.45504,-2.99014,-2.58116,-0.209792
1.84,200,9.81,100,-0.333564,6.74423,-4.48449,1,0.1,-0.132795,-0.333564,-4.48449,-2.89868,-2.5832,-0.19697
1.85,200,9.81,100,-0.335761,6.69924,-4.51302,1,0.1,-0.136142,-0.335761,-4.51302,-2.80676,-2.5851,-0.183864
1.86,200,9.81,100,-0.337978,6.65397,-4.54062,1,0.1,-0.139511,-0.337978,-4.54062,-2.71441,-2.58687,-0.170468
1.87,200,9.81,100,-0.340216,6.60843,-4.5673,1,0.1,-0.142901,-0.340216,-4.5673,-2.62163,-2.58851,-0.156773
1.88,200,9.81,100,-0.342475,6.56263,-4.59305,1,0.1,-0.146315,-0.342475,-4.59305,-2.52847,-2.59001,-0.142772
1.89,200,9.81,100,-0.344754,6.51657,-4.61787,1,0.1,-0.149751,-0.344754,-4.61787,-2.43494,-2.59137,-0.128455
1.9,200,9.81,100,-0.347052,6.47027,-4.64175,1,0.1,-0.15321,-0.347052,-4.64175,-2.34106,-2.59258,-0.113814
1.91,200,9.81,100,-0.349371,6.42374,-4.66469,1,0.1,-0.156692,-0.349371,-4.66469,-2.24686,-2.59364,-0.098841
1.92,200,9.81,100,-0.351709,6.37698,-4.68669,1,0.1,-0.160198,-0.351709,-4.68669,-2.15236,-2.59455,-0.0835267
1.93,200,9.81,100,-0.354066,6.33001,-4.70774,1,0.1,-0.163726,-0.354066,-4.70774,-2.05759,-2.59531,-0.067862
1.94,200,9.81,100,-0.356442,6.28283,-4.72784,1,0.1,-0.167279,-0.356442,-4.72784,-1.96258,-2.59591,-0.0518379
1.95,200,9.81,100,-0.358836,6.23546,-4.74699,1,0.1,-0.170855,-0.358836,-4.74699,-1.86734,-2.59635,-0.035445
1.96,200,9.81,100,-0.361249,6.1879,-4.76518,1,0.1,-0.174456,-0.361249,-4.76518,-1.77191,-2.59662,-0.0186737
1.97,200,9.81,100,-0.363678,6.14016,-4.78243,1,0.1,-0.17808,-0.363678,-4.78243,-1.6763,-2.59672,-0.00151435
